epoc,train_loss,valid_loss,valic_accuracy,valid_balanced_accuracy,valid_balanced_accuracy_adjusted
1,1.6738190341305423,1.3433892986713312,0.6514657980456026,0.5238603988603988,0.4286324786324786
2,1.148632737723264,1.1201363236476214,0.6840390879478827,0.5365384615384615,0.44384615384615383
3,0.6863893850089667,1.258389515372423,0.6644951140065146,0.5199964387464387,0.42399572649572653
4,0.4028872465351959,1.1223261272295928,0.6742671009771987,0.634846866096866,0.5618162393162393
5,0.1922306738697089,1.3130107854421322,0.6482084690553745,0.586378205128205,0.5036538461538461
6,0.10518064736932903,1.496654020097011,0.6905537459283387,0.5545940170940171,0.46551282051282056
7,0.06501449186766109,1.6079270865004032,0.7100977198697068,0.5637820512820513,0.4765384615384616
8,0.04842793766118876,1.6329721292624106,0.7231270358306189,0.5733974358974359,0.4880769230769231
9,0.04095357416995934,1.7199502668033044,0.7133550488599348,0.5765491452991452,0.4918589743589743
10,0.03207385406357708,1.6318472155775778,0.7198697068403909,0.5786858974358974,0.49442307692307685
